Team,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14
FETTY WATT,57.6,71.3,88.1,97.5,118.1,91.8,97.7,117.2,91.4,97.5,59.3,102.7,34.2,130.4
WINTER IS NEVER COMING,90.4,71.2,101.4,92.3,161.1,110.0,139.6,98.5,77.7,79.9,89.8,98.7,76.2,106.6
HI !,121.6,93.0,143.3,117.1,94.1,137.6,98.5,158.1,117.5,109.5,76.9,88.7,101.6,104.7
0 to 1,115.4,121.9,77.4,79.3,91.4,126.2,91.2,99.7,114.4,106.5,124.5,150.2,107.4,82.9
Abdullah Matata,109.3,163.5,150.7,47.9,96.7,96.2,100.1,121.4,109.0,118.8,89.0,107.7,117.0,117.4
Team Moyer,111.4,61.5,98.1,71.0,59.0,29.1,69.9,71.7,109.2,84.7,71.8,83.7,85.3,71.2
Literally Can't Eve,116.6,105.9,93.0,96.6,108.9,98.9,104.3,88.9,106.1,75.9,82.6,72.3,56.1,71.5
All's Good,123.8,92.7,97.4,95.3,96.9,82.8,68.8,78.4,115.7,63.9,68.1,119.7,122.3,116.1
What Would Gronk Do,94.1,120.5,145.3,89.0,120.8,93.4,115.8,103.6,122.4,123.5,120.1,135.3,129.0,133.7
>Fortune Favors The Bold,82.2,93.8,58.7,83.2,54.4,102.6,92.4,110.3,129.2,106.4,43.1,82.5,100.3,117.4
>The Marshawn,101.1,42.6,112.3,84.0,111.8,87.2,105.1,82.1,115.1,84.9,77.8,73.8,102.3,84.2
>Team  Suckerpunch,95.1,129.6,88.1,69.6,86.8,89.5,101.8,81.2,98.4,89.7,133.1,132.0,106.7,73.3
>da muffins,91.7,119.6,120.9,100.6,115.9,134.8,96.5,99.8,78.3,59.5,57.3,123.6,69.3,95.4
>Do You Even Lift?,102.4,89.9,99.1,98.8,81.5,129.8,77.0,140.0,111.6,89.2,118.0,110.2,104.2,84.5
